# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = ex3_2.data.R
# init = 2 (Default)
# random
#   seed = 4133938453
# output
#   file = ex3_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 1.16254
# Diagonal elements of inverse mass matrix:
# 0.618174, 0.869076, 0.0102552
-104.491,0.387077,1.16254,2,3,0,107.286,2.52561,-0.214611,4.16788
-101.319,0.90565,1.16254,2,3,0,104.607,1.06575,-0.407922,4.02898
-101.319,0.663225,1.16254,1,1,0,103.484,1.06575,-0.407922,4.02898
-100.621,1,1.16254,2,3,0,102.73,-0.753951,2.84526,4.85281
-99.8804,0.907991,1.16254,2,3,0,102.123,1.27079,1.67576,5.07371
-99.4735,0.91396,1.16254,2,3,0,101.18,0.462716,0.112854,5.04837
-101.362,0.886123,1.16254,2,3,0,101.65,0.448176,3.2484,4.23338
-100.003,1,1.16254,2,3,0,101.471,-0.550051,2.48741,4.39451
-99.9011,0.715288,1.16254,2,3,0,102.216,0.952539,-0.222637,4.38962
-99.9741,0.964984,1.16254,2,3,0,100.81,-0.114731,1.75519,5.3637
-99.4201,0.973284,1.16254,2,3,0,100.907,0.12838,2.47186,4.56865
-99.3007,1,1.16254,2,3,0,99.6824,-0.429198,2.11372,4.58844
-99.3007,0.74428,1.16254,1,1,0,100.626,-0.429198,2.11372,4.58844
-99.2508,0.763905,1.16254,2,3,0,101.13,-0.0853889,-0.0804414,4.59099
-101.472,0.806164,1.16254,2,3,0,101.663,-1.30499,-0.424038,4.43845
-99.3622,1,1.16254,2,3,0,101.198,-0.10603,0.159133,4.2172
-99.9508,0.921433,1.16254,2,3,0,100.662,1.05381,0.498699,5.22587
-99.8499,0.82848,1.16254,2,3,0,101.365,-0.83024,0.0835454,4.48086
-100.162,0.682429,1.16254,2,3,0,102.729,1.26713,-0.0179342,5.0213
-100.076,0.99665,1.16254,2,3,0,100.548,-1.02181,1.40666,4.23255
-100.984,0.50978,1.16254,2,3,0,103.695,1.89382,0.114683,4.91446
-100.734,0.95964,1.16254,2,3,0,102.831,-0.824478,-0.64713,4.87307
-100.65,0.439993,1.16254,2,3,0,104.611,1.13161,2.51436,4.20144
-98.6675,1,1.16254,2,3,0,100.369,-0.142056,1.01507,4.38596
-100.38,0.672823,1.16254,2,3,0,100.948,0.559691,-0.83858,4.63118
-102.287,0.743609,1.16254,2,3,0,104.742,-1.24743,2.83818,5.5415
-99.427,0.846728,1.16254,2,3,0,102.542,1.18166,1.62821,4.82657
-100.403,0.784873,1.16254,2,3,0,101.154,-1.22598,0.409256,5.00456
-101.628,0.849661,1.16254,1,1,0,101.864,-1.78698,0.201767,4.81769
